gkg_record_id,date,source,document_url,headline,phase1_label,authoritative_label,previous_label,change_reason,policy_basis,notes,audit_version
20240101064500-536,20240101064500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse/articleshow/106436923.cms,52 week high stocks: Stock market update: Stocks that hit 52-week highs on NSE,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101064500-160,20240101064500,indiatimes.com,https://telecom.economictimes.indiatimes.com/news/internet/india-job-scene-sees-early-signs-of-disruption-from-ai/106429304,"AI Jobs: India job scene sees early signs of disruption from AI, ET Telecom",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101070000-T1321,20240101070000,news18.com,https://hindi.news18.com/states/news/himachal-pradesh/shimla-mandi-girl-rasmi-sharma-becomes-dsp-after-leave-infosys-jobs-clears-has-exam-now-completed-her-training-7945800.html,"Success Story: इन्फोंसिस की नौकरी छोड़ी, बेटे की परवरिश के साथ-साथ पढ़ाई, ट्रैनिंग के बाद अब DSP बनीं रश्मि शर्मा",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Founder lifestyle / non-corporate exclusion,"Narayana Murthy / Sudha Murty non-corporate lifestyle, family memoir, flight encounter, or 70-hour work week viral debate",INFY_JAN2024_GROUND_TRUTH_V2
20240101110000-T201,20240101110000,pudhari.news,https://pudhari.news/features/arthabhan/708642/stock-market-closing-bell-sensex-closed-31points-higher/ar,"Stock Market Closing Bell | नव्या वर्षाची 'पॉझिटिव्ह' सुरुवात, सेन्सेक्स, निफ्टीचा नवा उच्चांक, जाणून घ्या टॉप गेनर्स",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101111500-339,20240101111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/106453336.cms,active stocks: Share market update: Most active stocks of the day in terms of traded value,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101113000-334,20240101113000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-in-todays-market-in-terms-of-volume/articleshow/106453881.cms,share market: Share market update: Most active stocks in today's market in terms of volume,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101120000-153,20240101120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-49/articleshow/106454424.cms,Indices: Stock market update: Nifty IT index falls 0.49%,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101120000-283,20240101120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse-in-todays-trade/articleshow/106454730.cms,52 week high stocks: Stock market update: Stocks that hit 52-week highs on NSE in today's trade,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101120000-599,20240101120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/106454107.cms,52 week high stocks: Stock market update: Stocks that hit 52-week lows on NSE in today's trade,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101120000-682,20240101120000,indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/should-one-be-extra-cautious-in-2024-pashupati-advani-answers/articleshow/106454022.cms,pashupati advani: Should one be extra cautious in 2024? Pashupati Advani answers,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101151500-T1978,20240101151500,kannadaprabha.com,https://www.kannadaprabha.com/karnataka/2023/dec/31/news-makers-2023-509326.html,2023ರಲ್ಲಿ ಭಾರೀ ಸುದ್ದಿ ಮಾಡಿದ ಕನ್ನಡಿಗರು ಇವರು...,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101184500-534,20240101184500,indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/microsoft-india-looks-to-demystify-ai-to-push-business-adoption/articleshow/106459086.cms,Microsoft India: Microsoft India looks to demystify AI to push business adoption,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101220000-503,20240101220000,financialexpress.com,https://www.financialexpress.com/lifestyle/rohan-murty-sudha-murty-and-narayana-murthys-son-who-is-carving-his-path-beyond-the-shadows-of-infosys/3352734/,Rohan Murty: Sudha Murty and Narayana Murthy's son who is carving his path beyond the shadows of Infosys - Lifestyle News,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Founder lifestyle / non-corporate exclusion,"Narayana Murthy / Sudha Murty non-corporate lifestyle, family memoir, flight encounter, or 70-hour work week viral debate",INFY_JAN2024_GROUND_TRUTH_V2
20240102021500-357,20240102021500,thehindubusinessline.com,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-january-02/article67695330.ece,"Day trading guide for January 02, 2024: Intraday supports, resistances for Nifty50 stocks",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102033000-57,20240102033000,etfdailynews.com,https://www.etfdailynews.com/2024/01/01/infosys-nyseinfy-upgraded-to-buy-by-stocknews-com/,Infosys (NYSE:INFY) Upgraded to Buy by StockNews.com,DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,Consistent label across audits,Core corporate business operation / financial disclosure,"Infosys Q3 FY24 earnings, revenue, InSemi acquisition, deals, hiring, or share price performance.",INFY_JAN2024_GROUND_TRUTH_V2
20240102034500-796,20240102034500,businesstoday.in,https://www.businesstoday.in/markets/stock-picks/story/infosys-tcs-wipro-cyient-mphasis-persistent-coforge-shares-what-to-watch-in-q3-results-411483-2024-01-02,"Infosys, TCS, Wipro, Cyient, Mphasis, Persistent, Coforge shares: What to watch in Q3 results?",DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,Consistent label across audits,Core corporate business operation / financial disclosure,"Infosys Q3 FY24 earnings, revenue, InSemi acquisition, deals, hiring, or share price performance.",INFY_JAN2024_GROUND_TRUTH_V2
20240102043000-T634,20240102043000,tarunbharat.com,https://www.tarunbharat.com/the-market-started-the-new-year-with-a-slight-boom/,The market started the new year with a slight boom,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102043000-497,20240102043000,etfdailynews.com,https://www.etfdailynews.com/2024/01/01/equities-research-analysts-upgrades-for-january-1st-aee-aiv-alk-biol-colm-gef-gel-infy-jnpr-oge/,"Equities Research Analysts' Upgrades for January 1st (AEE, AIV, ALK, BIOL, COLM, GEF, GEL, INFY, JNPR, OGE)",DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,Consistent label across audits,Core corporate business operation / financial disclosure,"Infosys Q3 FY24 earnings, revenue, InSemi acquisition, deals, hiring, or share price performance.",INFY_JAN2024_GROUND_TRUTH_V2
20240102050000-237,20240102050000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/nifty-sensex-open-marginally-in-red-volatility-to-persist-in-markets-analysts-11986101.html,"Nifty, Sensex open marginally in red, volatility to persist in markets: Analysts",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102053000-720,20240102053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/106467762.cms,share market: Share market update: Most active stocks on D-Street today in terms of volume,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102054500-220,20240102054500,aninews.in,https://www.aninews.in/news/business/business/bearish-start-to-2024-sensex-and-nifty-face-negative-opening-analysts-watch-market-dynamics-closely20240102101346/,"Bearish start to 2024: Sensex and Nifty face negative opening, analysts watch market dynamics closely",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102054500-T879,20240102054500,livehindustan.com,https://www.livehindustan.com/business/story-stock-market-slipped-openly-on-the-rise-sensex-nifty-red-place-bets-on-these-shares-today-2-jan-2024-9146342.html,"Business News : Stock market slipped openly on the rise Sensex Nifty red place bets on these shares today 2 jan 2024 - शेयर बाजार लड़खड़ाया, सेंसेक्स 72000 और निफ्टी 21600 के नीचे",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102060000-816,20240102060000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/24k-in-2024-nifty-can-deliver-double-digit-returns-says-jefferies-adds-adani-ports/articleshow/106469548.cms,"nifty 2024 target: 24K in 2024? Nifty can deliver double-digit returns, says Jefferies, adds Adani Ports",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102060000-41,20240102060000,tribuneindia.com,https://www.tribuneindia.com/news/business/markets-fall-in-early-trade-as-sensex-falls-202-76-points-577579,Markets fall in early trade as Sensex falls 202.76 points,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102060000-T107,20240102060000,punjabkesari.in,https://www.punjabkesari.in/business/news/decline-in-early-trade-in-domestic-markets-1923301,घरेलू बाजारों में शुरुआती कारोबार में गिरावट - decline in early trade in domestic markets,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102061500-283,20240102061500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/106470929.cms,52 week high stocks: Stock market update: Stocks that hit 52-week lows on NSE,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102061500-692,20240102061500,indiatimes.com,https://telecom.economictimes.indiatimes.com/news/internet/microsoft-india-looks-to-demystify-ai-to-push-business-adoption/106462849,"Microsoft India looks to demystify AI to push business adoption, ET Telecom",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102063000-45,20240102063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/106472009.cms,active stocks: Share market update: Most active stocks of the day in terms of total traded value,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102063000-695,20240102063000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-falls-202-points-to-72069-in-early-trade-nifty-declines-42-points-to-21699/cid/1990960,"Stock market | Sensex falls 202 points to 72,069 in early trade; Nifty declines 42 points to 21,699",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102063000-946,20240102063000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/02/del5-biz-stocks-open.html,Markets fall in early trade,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102063000-806,20240102063000,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/02/sensex-nifty-decline-in-early-trade-amid-weak-asian-trends-fresh-foreign-fund-outflows.html,"Sensex, Nifty decline in early trade amid weak Asian trends, fresh foreign fund outflows",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102063000-381,20240102063000,thehindu.com,https://www.thehindu.com/business/markets/markets-fall-in-early-trade-sensex-down-200-points/article67697572.ece,Markets fall in early trade; Sensex down 200 points,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102070000-52,20240102070000,indiatimes.com,https://timesofindia.indiatimes.com/city/mysuru/renewable-energy-microgrid-for-tribal-hamlets-near-nagarahole/articleshow/106463914.cms,Tribal Hamlets: Renewable Energy Microgrid for Tribal Hamlets near Nagarahole | Mysuru News,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102070000-170,20240102070000,indiatimes.com,https://timesofindia.indiatimes.com/business/markets/sensex/sensex-nifty-down-amid-selling-pressure-in-financials-it/articleshow/106470241.cms,"Sensex, Nifty down amid selling pressure in financials, IT",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102070000-235,20240102070000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/sensex-dips-038-nse-down-028-in-early-trade/article67697509.ece,"Sensex dips 0.38%, NSE down 0.28% in early trade - The Hindu BusinessLine",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102073000-255,20240102073000,telegraphindia.com,https://www.telegraphindia.com/business/sensex-falls-202-points-to-72069-in-early-trade-nifty-declines-42-points-to-21699/cid/1990960,"Stock market | Sensex falls 202 points to 72,069 in early trade; Nifty declines 42 points to 21,699",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102073000-880,20240102073000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/mid-day-mood-profit-booking-seeps-in-as-indices-trade-in-red-pharma-stocks-shine-11986201.html,Mid-day Mood | Profit booking seeps in as indices trade in red; pharma stocks shine,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102074500-360,20240102074500,thecitizen.in,https://www.thecitizen.in/india/politics-over-brand-bengaluru-985389,Politics Over Brand Bengaluru,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102074500-392,20240102074500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-600-points-7-reasons-why-bulls-are-having-a-second-thought-on-2nd-day-of-2024/articleshow/106478496.cms,sensex crash today: Sensex falls 600 points. 7 reasons why bulls are having a second thought on 2nd day of 2024,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102074500-T1369,20240102074500,prabhasakshi.com,https://www.prabhasakshi.com/currentaffairs/investors-in-india-become-rich-in-the-year-2023-indian-economy-continues-to-boom,"वर्ष 2023 में भारत में निवेशक हुए मालामाल, भारतीय अर्थव्यवस्था में जारी है उछाल",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102083000-T1967,20240102083000,vtvgujarati.com,https://www.vtvgujarati.com/news-details/stock-market-rumbles-for-second-day-in-a-row-in-the-new-year-sensex-tumbles-see-which,"નવા વર્ષમાં સતત બીજા દિવસે શેર માર્કેટ કડડભૂસ: સેન્સેક્સનો કચ્ચરઘાણ, જુઓ કયા શેરમાં નુકસાન, અને કયા શેરમાં તેજી / Stock market rumbles for second day in a row in the new year: Sensex tumbles, see which stocks lose, which stocks gain",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102083000-663,20240102083000,aninews.in,https://aninews.in/news/business/business/bearish-start-to-2024-sensex-and-nifty-face-negative-opening-analysts-watch-market-dynamics-closely20240102101346/,"Bearish start to 2024: Sensex and Nifty face negative opening, analysts watch market dynamics closely",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102093000-261,20240102093000,livemint.com,https://www.livemint.com/companies/company-results/q3-result-preview-it-firms-expected-to-post-muted-revenue-subdued-profit-amid-weak-demand-11704185638482.html,"Q3 result preview: IT firms expected to post muted revenue, subdued profit",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102093000-T354,20240102093000,maharashtratimes.com,https://maharashtratimes.com/international/international-news/uk-pm-rishi-sunak-bans-dependents-of-foreign-students-thousands-of-indian-nationals-to-be-affected/articleshow/106481017.cms,Hundreds Of Thousands Of Indian Nationals To Be Affected As UK Bans Dependents Of Foreign Students; सुनक यांच्या घोषणेनं भारतीयांना धक्का,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102094500-288,20240102094500,menafn.com,https://menafn.com/1107675724/Murty-Trusts-Maitri-Initiative-Aims-to-Foster-Compassionate-Coexistence-and-Improve-the-Lives-of-Community-Cats,Murty Trust's Maitri Initiative Aims to Foster Compassionate Coexistence and Improve the Lives of Community Cats,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102100000-168,20240102100000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/nifty-sensex-in-bear-grip-amid-rising-rea-sea-tension-pre-q3-earnings-uncertainty-11987721.html,"Nifty, Sensex in bear grip amid rising Red Sea tension, pre-Q3 earnings uncertainty",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102100000-13,20240102100000,thehindu.com,https://www.thehindu.com/news/cities/bangalore/murty-trust-and-cupa-set-up-dedicated-community-cat-sterilisation-centre-in-bengaluru/article67697787.ece,Bengaluru gets dedicated community cat sterilisation centre,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102104500-449,20240102104500,financialexpress.com,https://www.financialexpress.com/jobs-career/education/never-forget-value-of-values-co-founder-and-former-ceo-infosys-shibulal-shares-insights-on-education-healthcare-and-more-with-yuva-unstoppable-school-students/3353101/,"'Never forget value of values': Co-founder and Former CEO Infosys, Shibulal shares insights on education, healthcare and more with Yuva Unstoppable school students - Education News",DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,DIRECTLY_RELEVANT,Consistent label across audits,Core corporate business operation / financial disclosure,"Infosys Q3 FY24 earnings, revenue, InSemi acquisition, deals, hiring, or share price performance.",INFY_JAN2024_GROUND_TRUTH_V2
20240102110000-875,20240102110000,hindustantimes.com,https://www.hindustantimes.com/business/who-is-hafeez-contractor-architect-hired-by-adani-group-for-dharavi-redevelopment-project-101704189778205.html,"Who is Hafeez Contractor, architect hired by Adani for redevelopment of Dharavi?",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102111500-T126,20240102111500,prabhatkhabar.com,https://www.prabhatkhabar.com/business/sensex-nifty-update-share-market-fell-second-day-of-year-2024-investors-loss-huge-mdn,"sensex nifty update share market fell second day of year 2024 investors loss huge mdn | Share Market ने निवेशकों को लगातार दूसरे दिन दिया झटका, सेंसेक्स 342 अंक टूटा, निफ्टी 21,677 पर बंद",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102111500-448,20240102111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/106486088.cms,active stocks: Share market update: Most active stocks of the day in terms of traded value,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102111500-885,20240102111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse-in-todays-trade/articleshow/106485657.cms,52 week high stocks: Stock market update: Stocks that hit 52-week highs on NSE in today's trade,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240102113000-865,20240102113000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/106486395.cms,52 week high stocks: Stock market update: Stocks that hit 52-week lows on NSE in today's trade,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
