gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,v1_label,adjudication_reason,policy_clause,adjudication_version
20240101063000-577,20240101063000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/01/del6-biz-stocks-open.html,Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101070000-85,20240101070000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101070000-209,20240101070000,telegraphindia.com,https://www.telegraphindia.com/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101073000-419,20240101073000,businesstoday.in,https://www.businesstoday.in/personal-finance/investment/story/senior-citizen-investment-tools-senior-citizen-savings-scheme-vs-fds-for-senior-which-one-is-better-411429-2024-01-01,"Senior citizen investment tools: Senior Citizen Savings Scheme vs FDs for senior, which one is better",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101080000-T53,20240101080000,tarunmitra.in,https://www.tarunmitra.in/article/10831/continuous-decline-in-the-stock-market-let-us-know-the,"शेयर बाजार में लगातार गिरावट, आइये जाने वैश्विक बाजार का हाल…",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101090000-68,20240101090000,india.com,https://zeenews.india.com/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024-2704856.html,Markets Off To Weak Start On First Day Of Trade Of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101111500-257,20240101111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-close-flat-in-new-years-first-trading-session-dragged-by-banking-stocks/articleshow/106453315.cms,"sensex today: Sensex, Nifty kick off 2024 on a flat note dragged by banking, auto stocks",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101114500-504,20240101114500,dnaindia.com,https://www.dnaindia.com/business/report-meet-banker-who-worked-in-london-for-several-yrs-now-leads-rs-380000-cr-company-in-india-as-md-ashok-vaswani-3073237,"Meet banker who worked in London for several years, now leads Rs 380000 crore company in India as...",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101220000-483,20240101220000,financialexpress.com,https://www.financialexpress.com/business/banking-finance-banks-fd-rates-unlikely-to-rise-further-in-2024-3352690/,Banks' FD rates unlikely to rise further in 2024 - Banking & Finance News,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102050000-237,20240102050000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/nifty-sensex-open-marginally-in-red-volatility-to-persist-in-markets-analysts-11986101.html,"Nifty, Sensex open marginally in red, volatility to persist in markets: Analysts",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102060000-249,20240102060000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-falls-0-45-in-a-weak-market/articleshow/106470243.cms,Indices: Stock market update: Nifty Bank index falls 0.45% in a weak market,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102061500-553,20240102061500,indiablooms.com,https://www.indiablooms.com/finance-details/19678/sensex-drops-342-48-points-during-opening-session.html,Sensex drops 342.48 points during opening session | Indiablooms - First Portal on Digital News Management,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102083000-521,20240102083000,livemint.com,https://www.livemint.com/money/personal-finance/up-to-7-50-fd-interest-rate-bank-of-india-launches-super-special-fixed-deposit-scheme-11704178081852.html,Up to 7.50% FD interest rate: Bank of India launches super special fixed deposit scheme,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102103000-977,20240102103000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/taking-stock-sensex-falls-379-pts-nifty-around-21700-auto-it-banks-major-drag-11988001.html,"Taking Stock: Sensex falls 379 pts, Nifty around 21,700; auto, IT, banks major drag",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102111500-T126,20240102111500,prabhatkhabar.com,https://www.prabhatkhabar.com/business/sensex-nifty-update-share-market-fell-second-day-of-year-2024-investors-loss-huge-mdn,"sensex nifty update share market fell second day of year 2024 investors loss huge mdn | Share Market ने निवेशकों को लगातार दूसरे दिन दिया झटका, सेंसेक्स 342 अंक टूटा, निफ्टी 21,677 पर बंद",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102111500-226,20240102111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106485961.cms,Stock Market Sectors: Stock market update: Power stocks up as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102111500-744,20240102111500,freepressjournal.in,https://www.freepressjournal.in/business/closing-bell-markets-end-day-in-red-on-january-2-sensex-at-7189248-nifty-below-21700,"Closing Bell: Markets End Day In Red On January 2; Sensex At 71,892.48, Nifty Below 21,700",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102113000-1132,20240102113000,orissapost.com,https://www.orissapost.com/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks-foreign-fund-outflows/,"Sensex falls 379 pts on profit taking in bank & IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102113000-1176,20240102113000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/nifty-bank-falls-nearly-1-forms-bearish-marubozu-candle-on-daily-charts/articleshow/106486512.cms,"nifty bank: Nifty Bank falls nearly 1%, forms bearish Marubozu candle on daily charts",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102114500-1232,20240102114500,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/02/del28-biz-stocks-close.html,Sensex falls 379 pts on profit taking in bank IT stocks foreign fund outflows,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102114500-25,20240102114500,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/02/sensex-falls-379-points-on-profit-taking-in-bank-andit-stocks-foreign-fund-outflows.html,"Sensex falls 379 points on profit taking in bank &IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102120000-553,20240102120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106487012.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102121500-30,20240102121500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-falls-0-45/articleshow/106487507.cms,Indices: Stock market update: Nifty Bank index falls 0.45%,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102121500-259,20240102121500,indianexpress.com,https://indianexpress.com/article/business/sensex-pts-profit-taking-in-bank-it-stocks-foreign-fund-outflows-9092002/,"Sensex falls 379 pts on profit taking in bank & IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102121500-904,20240102121500,tribuneindia.com,https://www.tribuneindia.com/news/business/sensex-falls-379-points-on-profit-taking-in-bank-and-it-stocks-foreign-fund-outflows-577607,"Sensex falls 379 points on profit taking in bank and IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102123000-466,20240102123000,indiablooms.com,https://www.indiablooms.com/finance-details/19680/sensex-moves-down-376-46-points.html,Sensex moves down 376.46 points | Indiablooms - First Portal on Digital News Management,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102123000-1182,20240102123000,rediff.com,https://www.rediff.com/business/report/sensex-falls-379-pts-on-profit-taking-in-bank--it-stocks/20240102.htm,Sensex falls 379 pts on profit taking in bank & IT stocks,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102123000-281,20240102123000,prokerala.com,https://www.prokerala.com/news/articles/a1493167.html,Auto stocks top losers due to weak Dec volumes,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102124500-326,20240102124500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks-foreign-fund-outflows/article67698161.ece,"Sensex falls 379 pts on profit-taking in bank & IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102124500-1412,20240102124500,rttnews.com,https://www.rttnews.com/3414144/sensex-nifty-end-lower-as-oil-prices-surge-on-supply-fears.aspx,"Sensex, Nifty End Lower As Oil Prices Surge On Supply Fears",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102124500-1087,20240102124500,biztoc.com,https://biztoc.com/x/7db4d4a453373a6c,"Indian Shares End Lower, Tracking Regional Losses",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102131500-755,20240102131500,india.com,https://zeenews.india.com/markets/sensex-falls-379-46-points-to-settle-at-71892-48-nifty-declines-76-10-points-to-21665-80-2705362.html,"Sensex Falls 379.46 Points To Settle At 71,892.48; Nifty Declines 76.10 Points To 21,665.80",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102140000-T2513,20240102140000,punjabkesari.in,https://www.punjabkesari.in/business/news/bse-falls-379-points-due-to-selling-in-bank-it-shares-1923557,"बैंक, आईटी शेयरों में बिकवाली से सेंसेक्स 379 अंक टूटा - bse falls 379 points due to selling in bank it shares",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102143000-1179,20240102143000,rttnews.com,https://www.rttnews.com/story.aspx?Id=3414144,"Sensex, Nifty End Lower As Oil Prices Surge On Supply Fears",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102143000-T255,20240102143000,maharashtratimes.com,https://maharashtratimes.com/business/share-bazaar/stock-market-closing-today-update-sensex-nifty-down-from-record-highs-amid-profit-booking-auto-it-stocks-suffers-major-loss/articleshow/106486127.cms,"Stock Market Crashed Today Sensex, Nifty50 Down After Hitting Record Highs; विक्रमी उच्चांकानंतर तेजीला ब्रेक, नफा वसुलीमुळे शेअर बाजार गडगडला; गुंतवणूकदारांची धाकधूक वाढली",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102154500-743,20240102154500,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/banks-hike-fd-rates-ahead-of-q4-to-support-credit-growth-protect-nims/article67699301.ece,"Banks hike FD rates ahead of Q4 to support credit growth, protect NIMs",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102161500-T77,20240102161500,bhaskar.com,https://www.bhaskar.com/utility/news/pnb-bank-fd-rates-hike-update-132381990.html,"PNB FD Rates Hike Update | PNB Bank Fixed Deposit Latest News | ​​​​PNB ने FD पर ब्याज दरें बढ़ाईं: अब 3.50% से लेकर 7.25% तक इंटरेस्ट मिलेगा, यहां देखें नई ब्याज दरें",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102164500-529,20240102164500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-d-street-action-on-wednesday/articleshow/106492746.cms,Ahead of Market: 10 things that will decide D-Street action on Wednesday,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102183000-1802,20240102183000,thenorthlines.com,https://thenorthlines.com/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks/,Sensex falls 379 pts on profit taking in bank & IT stocks,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102194500-499,20240102194500,freepressjournal.in,https://www.freepressjournal.in/mumbai/maha-isis-terror-module-accused-sent-money-to-isis-says-nia-chargesheet,"Maha ISIS Terror Module: Accused Sent Money To ISIS, Says NIA Chargesheet",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240102194500-T2194,20240102194500,indiatimes.com,https://navbharattimes.indiatimes.com/business/personal-finance/savings-and-investments/banks-interest-on-fd-bank-of-india-launches-super-special-fd-scheme-up-to-7-50-percent-of-interest/articleshow/106492244.cms,"Banks Interest On FD: ये बैंक लेकर आया सुपर स्पेशल FD स्कीम, मिलेगा धमाकेदार रिटर्न, जानें पूरी डिटेल",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103003000-1548,20240103003000,dailyexcelsior.com,https://www.dailyexcelsior.com/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks-foreign-fund-outflows/,"Sensex falls 379 pts on profit taking in bank & IT stocks, foreign fund outflows",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103014500-T811,20240103014500,tarunbharat.com,https://www.tarunbharat.com/market-effectively-with-sales-in-the-it-financial-sector/,Market effectively with sales in the IT-financial sector,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103031500-400,20240103031500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-633-11990691.html,Morning Scan: All the big stories to get you started for the day,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103050000-T676,20240103050000,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-there-are-signs-of-bumper-bullish-trend-in-these-stocks-including-bhel/articleshow/106493076.cms,"Stock Market Prediction: आज BHEL और Abbott India करा सकते हैं आपकी बंपर कमाई, तेजी के दिख रहे सभी संकेत",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103051500-1013,20240103051500,businesstoday.in,https://www.businesstoday.in/markets/market-commentary/story/sensex-falls-over-200-points-nifty-tests-21600-national-aluminium-vodafone-idea-mphasis-slip-up-to-3-411660-2024-01-03,"Sensex falls over 200 points, Nifty tests 21,600; National Aluminium, Vodafone Idea & Mphasis slip up to 3%",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103054500-690,20240103054500,businessworld.in,https://www.businessworld.in/article/RBL-Bank-Offloads-Rs-800-Cr-In-Stressed-Credit-Card-Loans-At-97-Discount/03-01-2024-504418/,RBL Bank Offloads Rs 800 Cr In Stressed Credit Card Loans At 97 Discount - BW Businessworld,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103063000-22,20240103063000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-03-january-2024/article67698291.ece,"Stock Market Live Updates: Sensex, Nifty trade weak, SC denies SIT probe in Adani-Hindenburg row; orders swift SEBI investigation",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240103100000-T2405,20240103100000,bhaskar.com,https://www.bhaskar.com/business/news/fd-vs-post-office-time-deposit-scheme-punjab-bank-pnb-fd-interest-rates-hiked-132386960.html,"FD vs Post Office Time Deposit Scheme; Punjab Bank (PNB) FD Interest Rates Hiked | FD vs पोस्ट ऑफिस टाइम डिपॉजिट स्कीम: PNB और SBI सहित कई बैंकों ने ब्याज दरों में की बढ़ोतरी, देखें अब कहां ज्यादा ब्याज",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104044500-T554,20240104044500,bhaskar.com,https://www.bhaskar.com/business/news/supreme-court-refuses-sit-investigation-in-adani-hindenburg-case-latest-news-on-business-132389202.html,"Supreme Court refuses SIT investigation in Adani-Hindenburg case, Latest News on Business | अडाणी-हिंडनबर्ग केस में सुप्रीम कोर्ट का SIT जांच से इनकार: 1,202 करोड़ लेनदेन के साथ UPI ट्रांजैक्शन का नया रिकॉर्ड, कावासाकी एलिमिनेटर ₹5.62 लाख में लॉन्च",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104044500-T529,20240104044500,indiatimes.com,https://navbharattimes.indiatimes.com/business/personal-finance/savings-and-investments/fd-interest-rate-has-gone-up-but-take-care-of-these-things/articleshow/106528733.cms,"FD पर किस बैंक में मिल रहा है सबसे ज्यादा ब्याज, यहां देखें पूरी लिस्ट",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104081500-498,20240104081500,financialexpress.com,https://www.financialexpress.com/market/axis-bank-icici-bank-indusind-bank-sbi-bandhan-bank-remain-top-picks-for-jefferies-in-banking-sectornbsp-3355241/,"Axis Bank, ICICI Bank, IndusInd Bank, SBI, Bandhan Bank remain top picks for Jefferies in Banking sector - Market News",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104090000-419,20240104090000,marketscreener.com,https://www.marketscreener.com/quote/stock/IDBI-BANK-LIMITED-9743068/news/India-s-digital-currency-transactions-top-1-mln-day-in-Dec-sources-45671558/,India's digital currency transactions top 1 mln/day in Dec -sources,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104090000-459,20240104090000,indiatimes.com,https://economictimes.indiatimes.com/tech/technology/indias-digital-currency-transactions-top-1-million-per-day-in-december/articleshow/106540376.cms,digital currency transactions: India's digital currency transactions top 1 million per day in December,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104093000-551,20240104093000,moneycontrol.com,https://www.moneycontrol.com/news/india/indias-digital-currency-transactions-top-1-millionday-in-december-11998411.html,India's digital currency transactions top 1 million/day in December,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240104104500-266,20240104104500,livemint.com,https://www.livemint.com/market/stock-market-news/how-will-hdfc-bank-axis-bank-sbi-icici-kotak-perform-in-2024-5-key-trends-that-will-determine-banks-performance-11704357131792.html,"How will HDFC Bank, Axis Bank, SBI and others perform in 2024? 5 key trends that will determine banks' performance",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
