gkg_record_id,date,source,document_url,headline,retrieval_bucket,human_label,notes
20240101091500-139,20240101091500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/nifty-overvalued-by-20-says-kotak-equities-picks-britannia-ntpc-for-its-portfolio-all-season-portfolio/articleshow/106448205.cms,"Nifty overvalued by 20%, says Kotak Equities, picks Britannia, NTPC for its portfolio All-Season portfolio",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101114500-532,20240101114500,moneycontrol.com,https://www.moneycontrol.com/news/business/maharashtra-government-issues-notice-to-tcs-over-transfer-practices-11983801.html,Maharashtra labour department issues notice to TCS over 'unfair' transfer practices,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240101120000-153,20240101120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-49/articleshow/106454424.cms,Indices: Stock market update: Nifty IT index falls 0.49%,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101124500-128,20240101124500,indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/maharashtra-labour-department-issues-notice-to-tcs-over-forced-transfers/articleshow/106455325.cms,TCS: Maharashtra Labour Department issues notice to TCS over 'forced' transfers,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240101150000-T1492,20240101150000,moneycontrol.com,https://hindi.moneycontrol.com/news/business/maharashtra-government-issues-notice-to-tcs-over-transfer-practices-1691791.html,"एंप्लॉयीज का ट्रांसफर कर फंसी TCS, महाराष्ट्र सरकार ने भेज दिया नोटिस",OVERLAP,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101150000-T1185,20240101150000,radio.opole.pl,"https://radio.opole.pl/104,783150,tcs-trzech-polakow-w-drugiej-serii-w-ga-pa-prowa","TCS - trzech Polaków w drugiej serii w Ga-Pa, prowadzi Kobaya…",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240101160000-154,20240101160000,indiatimes.com,https://telecom.economictimes.indiatimes.com/news/enterprise-services/maharashtra-labour-department-issues-notice-to-tcs-over-forced-transfers/106455164,"Maharashtra Labour Department issues notice to TCS over 'forced' transfers, ET Telecom",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240101161500-T1993,20240101161500,niezalezna.pl,https://niezalezna.pl/sport/skoki-narciarskie/tcs-kolejny-slaby-wystep-polskich-skoczkow-wygral-lanisek/507983,TCS: Kolejny słaby występ polskich skoczków. Wygrał Lanisek,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101193000-T747,20240101193000,gosc.pl,https://www.gosc.pl/doc/8622148.TCS-Zniszczol-to-byl-dla-mnie-super-skok-w-nowy-rok,TCS - Zniszczoł: to był dla mnie super skok w nowy rok,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101211500-T1154,20240101211500,info.wiara.pl,https://info.wiara.pl/doc/8622148.TCS-Zniszczol-to-byl-dla-mnie-super-skok-w-nowy-rok,TCS - Zniszczoł: to był dla mnie super skok w nowy rok,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101214500-T782,20240101214500,rp.pl,https://www.rp.pl/skoki-narciarskie/art39641671-72-tcs-konkurs-w-ga-pa-wygral-lanisek-ale-wellinger-i-kobayashi-uciekaja,72. TCS. W Garmisch-Partenkirchen wygrał Anze Lanisek,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240101220000-T77,20240101220000,dziennik.com,https://dziennik.com/tcs-zniszczol-to-byl-dla-mnie-super-skok-w-nowy-rok/,TCS - Zniszczoł: to był dla mnie super skok w nowy rok,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240102021500-173,20240102021500,financialexpress.com,https://www.financialexpress.com/business/industry-it-union-accuses-tcs-of-stopping-pay-to-900-staff-3352729/,IT union accuses TCS of stopping pay to 900 staff,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102023000-820,20240102023000,indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/maharashtra-labour-department-sends-notice-to-tcs-over-transfers/articleshow/106462284.cms,TCS Transfer Policy: Maharashtra labour department sends notice to TCS over transfers,BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102024500-25,20240102024500,indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/startups-flip-back-to-india-softbanks-returns-from-listed-firms/articleshow/106462379.cms,Startups 'flip' back to India; SoftBank's returns from listed firms,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240102034500-796,20240102034500,businesstoday.in,https://www.businesstoday.in/markets/stock-picks/story/infosys-tcs-wipro-cyient-mphasis-persistent-coforge-shares-what-to-watch-in-q3-results-411483-2024-01-02,"Infosys, TCS, Wipro, Cyient, Mphasis, Persistent, Coforge shares: What to watch in Q3 results?",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102040000-383,20240102040000,dnaindia.com,https://www.dnaindia.com/education/report-meet-iit-graduate-hired-by-tcs-he-used-to-get-rs-43-crore-salary-promoted-to-ceo-with-salary-of-just-rs-3073274,"Meet IIT graduate hired by TCS, he used to get Rs 4.3 crore salary, promoted to CEO with salary of just Rs…",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102061500-759,20240102061500,outlookindia.com,https://business.outlookindia.com/markets/stocks-to-watch-on-2-january-lic-hul-tcs-and-others-in-news,"Stocks To Watch On 2 January: LIC, HUL, TCS And Others In News",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102071500-107,20240102071500,trak.in,https://trak.in/stories/tcs-is-forcing-2000-employees-to-relocate-gets-notice-from-labor-dept-after-300-complaints-received-by-nites/,TCS Is Forcing 2000 Employees To Relocate; Gets Notice From Labor Dept After 300+ Complaints Received By NITES - Trak.in,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102080000-T195,20240102080000,prabhatkhabar.com,https://www.prabhatkhabar.com/business/tata-group-tcs-share-price-third-interim-dividend-record-date-update-news-mdn,"tata group tcs share price third interim dividend record date update news mdn | टाटा ग्रुप की इस कंपनी में डिविडेंड को लेकर 11 जनवरी को होगा फैसला, आज शेयर में दिखा ये एक्शन",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102100000-T431,20240102100000,sakshi.com,https://www.sakshi.com/telugu-news/business/maharashtra-labour-department-issues-notice-tcs-1903727,"టీసీఎస్‌ సంచలన నిర్ణయం?, ' ఆ 900 మంది ఉద్యోగుల శాలరీ నిలిపేసిందా?' | Maharashtra Labour Department Issues a Notice to TCS",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102111500-815,20240102111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/furloughs-to-weigh-on-q3-revenue-of-it-companies-says-motilal-report-hcl-top-buy/articleshow/106485972.cms,"it q3 earnings: Furloughs to weigh on Q3 revenue of IT companies, says Motilal report. HCL top buy",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240102120000-117,20240102120000,indiatimes.com,https://timesofindia.indiatimes.com/gadgets-news/tcs-gets-notice-from-maharashtra-labour-ministry-over-forced-transfers-what-the-complaint-claims/articleshow/106478524.cms,TCS gets notice from Maharashtra labour ministry over 'forced transfers': What the complaint claims,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102121500-658,20240102121500,hindustantimes.com,https://www.hindustantimes.com/business/tcs-accused-of-stopping-pay-of-900-employees-forced-transfers-of-2000-workers-report-101704194214720.html,"TCS stopped pay of 900 employees, 'forcefully transferred' 2000 workers: Report",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102134500-T2237,20240102134500,madhyamam.com,https://www.madhyamam.com/business/biz-news/tcs-accused-of-stopping-pay-of-900-employees-forced-transfers-of-2000-workers-report-1242788,"2000 ജീവനക്കാരെ ടി.സി.എസ് അന്യായമായി സ്ഥലംമാറ്റിയതായി പരാതി; ഇടപ്പെട്ട് മഹാരാഷ്ട്ര സർക്കാർ | TCS accused of stopping pay of 900 employees, 'forced transfers' of 2000 workers: Report",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102140000-1368,20240102140000,marketscreener.com,https://www.marketscreener.com/quote/stock/TCS-GROUP-HOLDING-PLC-14660034/news/TCS-TCSGH-FCA-Delisting-Application-Notice-2-January-2024-45658824/,"TCS : TCSGH - FCA Delisting Application Notice - 2 January 2024 -January 02, 2024 at 08:37 am EST",BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240102170000-T1585,20240102170000,rp.pl,https://www.rp.pl/skoki-narciarskie/art39645931-72-tcs-w-kwalifikacjach-na-bergisel-najlepszy-anze-lanisek,72. TCS. W kwalifikacjach na Bergisel najlepszy Anze Lanisek,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240102171500-1471,20240102171500,livelaw.in,https://www.livelaw.in/high-court/bombay-high-court/bombay-high-court-rules-it-analyst-not-workman-industrial-tribunal-act-245688,Former IT Analyst Of TCS With Supervisory Responsibilities Not Workman: Bombay High Court,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240102201500-T851,20240102201500,tass.ru,https://tass.ru/ekonomika/19668641,TCS Group планирует провести делистинг расписок с Лондонской биржи с 31 января,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240103000000-561,20240103000000,prnewswire.com,https://www.prnewswire.com/news-releases/india-smart-manufacturing-industry-4-0-market-report-2023-india-embraces-industry-4-0-with-smarth-udyog-bharat-4-0-initiative-302024594.html,India Smart Manufacturing (Industry 4.0) Market Report 2023: India Embraces Industry 4.0 with 'Smarth Udyog Bharat 4.0' Initiative,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103010000-68,20240103010000,globenewswire.com,https://www.globenewswire.com/news-release/2024/01/03/2802985/0/en/Cloud-Microservice-Market-Soars-to-US-11-3-Billion-by-2034-with-a-Strong-19-1-CAGR-Future-Market-Insights-Inc.html,Cloud Microservice Market Soars to US$ 11.3 Billion by 2034,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103014500-357,20240103014500,indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/it-stares-at-slowest-quarterly-revenue-growth-in-a-decade/articleshow/106493849.cms,IT: IT stares at slowest quarterly revenue growth in a decade,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103043000-174,20240103043000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/infosys-vs-tcswho-felt-winter-chills-stronger-than-the-other-in-q3/articleshow/106501482.cms,Infosys vs TCS:Who felt winter chills stronger than the other in Q3?,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103051500-738,20240103051500,jobsnhire.com,https://www.jobsnhire.com/articles/58074/20240102/quick-rundown-what-happened-tech-giants-over-holidays-layoff-labor.htm,Quick Rundown on What Happened to Tech Giants Over Holidays: From Layoff to Labor Notices,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103051500-999,20240103051500,jobsnhire.com,http://www.jobsnhire.com/articles/58074/20240102/quick-rundown-what-happened-tech-giants-over-holidays-layoff-labor.htm,Quick Rundown on What Happened to Tech Giants Over Holidays: From Layoff to Labor Notices,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103053000-170,20240103053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-falls/articleshow/106502843.cms,Stock Market Sectors: Stock market update: FMCG stocks up as market falls,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103053000-150,20240103053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106503114.cms,Stock Market Sectors: Stock market update: Power stocks up as market falls,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103053000-88,20240103053000,hindustantimes.com,https://www.hindustantimes.com/business/market-bell-sensex-drops-by-200-points-below-72-000-mark-nifty-down-by-0-23-at-21-616-points-stock-market-nse-bse-101704254326729.html,"Sensex drops by 270 points below 72,000 mark; Nifty down by 0.23%",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103054500-1040,20240103054500,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/03/del11-biz-stocks-open.html,Stock markets fall in early trade dragged down by IT counters weak global trends,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103054500-494,20240103054500,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/03/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends.html,"Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103054500-T735,20240103054500,kommersant.ru,https://www.kommersant.ru/doc/6441848,TCS Group сообщила о делистинге расписок с Лондонской биржи с 31 января,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240103060000-1012,20240103060000,thehindu.com,https://www.thehindu.com/business/markets/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends/article67700900.ece,"Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103061500-675,20240103061500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106504419.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103061500-430,20240103061500,telegraphindia.com,https://www.telegraphindia.com/feeds/business/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends/cid/1991200,"Sensex | Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103061500-1072,20240103061500,telegraphindia.com,https://www.telegraphindia.com/business/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends/cid/1991200,"Sensex | Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103063000-25,20240103063000,siasat.com,https://www.siasat.com/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends-2947833/,"Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103064500-104,20240103064500,india.com,https://zeenews.india.com/markets/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends-2705617.html,"Stock Markets Fall In Early Trade Dragged Down By IT Counters, Weak Global Trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103073000-325,20240103073000,tribuneindia.com,https://www.tribuneindia.com/news/business/stock-markets-fall-in-early-trade-dragged-down-by-it-counters-weak-global-trends-577886,"Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103074500-163,20240103074500,businesstoday.in,https://www.businesstoday.in/markets/stocks/story/tcs-infosys-hcl-tech-wipro-techm-are-it-shares-overvalued-stock-picks-by-analysts-ahead-of-q3-results-411669-2024-01-03,"TCS, Infosys, HCL Tech, Wipro, TechM: Are IT shares overvalued? Stock picks by analysts ahead of Q3 results",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103074500-T13,20240103074500,sharemanthan.in,https://www.sharemanthan.in/technical-tips/intraday-tips/73652-reliance-secrities-market-lens-intraday-calls-20240103,"इंटरग्लोब एविएशन और टाटा कंसल्टेंसी सर्विसेज बेचें, डाबर इंडिया खरीदें : रिलायंस सिक्योरिटीज",NARROW_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103094500-968,20240103094500,dailypioneer.com,https://www.dailypioneer.com/2024/business/stock-markets-fall-in-early-trade-dragged-down-by-it-counters--weak-global-trends.html,"Stock markets fall in early trade dragged down by IT counters, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103094500-522,20240103094500,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/infosys-tcs-wipro-key-reasons-why-it-firms-q3-results-may-be-muted-411696-2024-01-03,"Infosys, TCS, HCLTech: Key reasons why IT firms' Q3 results may be muted",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103103000-1081,20240103103000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-q3-results-preview-pat-growth-seen-declining-to-5-2-yoy-on-higher-furloughs-says-elara/articleshow/106513625.cms,"TCS Q3 Results Preview: PAT growth seen declining to 5.2% YoY on higher furloughs, says Elara",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103111500-776,20240103111500,orissapost.com,https://www.orissapost.com/sensex-falls-535-pts-dragged-by-hdfc-it-shares-weak-global-trends/,"Sensex falls 535 pts dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103114500-644,20240103114500,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends/cid/1991279,"Stock market | Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103114500-852,20240103114500,india.com,https://zeenews.india.com/markets/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends-2705781.html,"Sensex Falls 535 Points Dragged By HDFC & IT Shares, Weak Global Trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103114500-602,20240103114500,rediff.com,https://www.rediff.com/business/report/tech-tcs-needs-to-keep-evolving-in-age-of-genai-krithivasan/20240103.htm,TCS needs to keep evolving in age of GenAI: Krithivasan,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240103114500-999,20240103114500,siliconindia.com,https://healthcare.siliconindia.com/news/india-unveils-singlewindow-portal-for-medical-device-management-nwid-43697.html,India Unveils Single-Window Portal for Medical Device Management,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103114500-294,20240103114500,thehindu.com,https://www.thehindu.com/business/markets/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends/article67701797.ece,"Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103114500-304,20240103114500,rediff.com,https://www.rediff.com/business/report/sensex-falls-535-pts-dragged-by-hdfc--it-shares/20240103.htm,Sensex falls 535 pts dragged by HDFC & IT shares,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103120000-563,20240103120000,indianexpress.com,https://indianexpress.com/article/business/market/sensex-falls-hdfc-it-shares-weak-global-trends-9093543/,"Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103121500-133,20240103121500,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/03/sensex-falls-535-points-dragged-by-hdfc-and-it-shares-weak-global-trends.html,"Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103123000-1244,20240103123000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106518866.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103124500-466,20240103124500,telegraphindia.com,https://www.telegraphindia.com/business/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends/cid/1991279,"Stock market | Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103134500-203,20240103134500,indiatimes.com,https://timesofindia.indiatimes.com/business/markets/sensex/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends/articleshow/106516247.cms,"Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103140000-T2604,20240103140000,rb.ru,https://rb.ru/news/tcsgroup-delist/,TCS Group заявила о планах провести делистинг глобальных депозитарных расписок с Лондонской биржи,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240103141500-519,20240103141500,tribuneindia.com,https://www.tribuneindia.com/news/business/sensex-falls-535-points-dragged-by-hdfc-it-shares-weak-global-trends-577933,"Sensex falls 535 points dragged by HDFC & IT shares, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240103150000-T858,20240103150000,sakshi.com,https://www.sakshi.com/telugu-news/business/tcs-svp-dinanath-kholkar-quits-1904895,TCS: టీసీఎస్‌లో మరో పరిణామం.. వైదొలిగిన ఎస్‌వీపీ,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
